Nom_region,Recensement 1990,Recensement 1999,1er janvier 2008,1er janvier 2023
Auvergne-Rhône-Alpes,6668168,6949608,7459092,8197325
Bourgogne-Franche-Comté ,2705826,2728086,2802519,2786296
Bretagne,2794317,2904075,3149701,3429882
Centre-Val de Loire,2369808,2440295,2531588,2572278
Corse,249645,260152,302966,351255
Grand Est,5274064,5387509,5521452,5562262
Hauts-de-France,5770671,5855448,5931091,5980697
Île-de-France,10644665,10946012,11659260,12358932
Normandie,3126859,3202449,3293092,3317023
Nouvelle Aquitaine,5114287,5257954,5671076,6110365
Occitanie,4546249,4842680,5419946,6101005
Pays de la Loire,3055197,3219960,3510170,3907426
Provence-Alpes-Côte d'Azur,4257244,4502385,4882913,5160091
France métropolitaine,56577000,58496613,62134866,65834837
