com,com_name,nombre_pistes_cyclables
31555,Toulouse,4687
44109,Nantes,3498
67482,Strasbourg,2804
35238,Rennes,2797
33063,Bordeaux,2303
59350,Lille,1996
38185,Grenoble,1942
49007,Angers,1853
72181,Mans,1739
84007,Avignon,1590
37261,Tours,1525
14118,Caen,1469
59183,Dunkerque,1350
34172,Montpellier,1314
51454,Reims,1294
45234,Orléans,1245
75112,Paris 12e Arrondissement,1235
76351,Havre,1206
57463,Metz,1191
74010,Annecy,1183
25056,Besançon,1159
54395,Nancy,1119
17300,Rochelle,1115
80021,Amiens,1084
26362,Valence,988
86194,Poitiers,980
21231,Dijon,977
13001,Aix-en-Provence,975
29019,Brest,966
41018,Blois,956
76540,Rouen,922
33281,Mérignac,882
63113,Clermont-Ferrand,880
59009,Villeneuve-d'Ascq,858
75113,Paris 13e Arrondissement,812
68224,Mulhouse,808
78646,Versailles,760
62041,Arras,734
75115,Paris 15e Arrondissement,727
69266,Villeurbanne,722
75118,Paris 18e Arrondissement,717
75116,Paris 16e Arrondissement,716
92050,Nanterre,712
29232,Quimper,706
75114,Paris 14e Arrondissement,704
64445,Pau,687
67180,Haguenau,686
66136,Perpignan,685
68066,Colmar,681
85191,Roche-sur-Yon,677
33318,Pessac,674
87085,Limoges,671
79191,Niort,667
85194,Sables-d'Olonne,667
69383,Lyon 3e Arrondissement,661
75119,Paris 19e Arrondissement,658
59178,Douai,651
75120,Paris 20e Arrondissement,647
64102,Bayonne,640
22278,Saint-Brieuc,627
18033,Bourges,621
35288,Saint-Malo,619
30189,Nîmes,611
95127,Cergy,605
69387,Lyon 7e Arrondissement,592
59512,Roubaix,591
44184,Saint-Nazaire,583
44162,Saint-Herblain,576
44143,Rezé,575
56260,Vannes,553
92063,Rueil-Malmaison,540
73065,Chambéry,539
50129,Cherbourg-en-Cotentin,517
93066,Saint-Denis,509
59599,Tourcoing,507
75117,Paris 17e Arrondissement,506
92002,Antony,499
75111,Paris 11e Arrondissement,494
