region_name,reg,nombre_pistes_cyclables,Population,ratio
Île-de-France,11.0,46538,12246234,3.73
Auvergne-Rhône-Alpes,84.0,36130,8037059,3.91
Nouvelle-Aquitaine,75.0,26540,5994336,3.44
Grand Est,44.0,25935,5548090,3.9
Pays de la Loire,52.0,25074,3787411,6.07
Hauts-de-France,32.0,24743,6023336,3.12
Occitanie,76.0,21749,5903190,2.64
Bretagne,53.0,19831,3336643,5.82
Provence-Alpes-Côte d'Azur,93.0,14625,5065723,3.63
Centre-Val de Loire,24.0,12458,2582522,4.24
Normandie,28.0,11902,3342467,3.3
Bourgogne-Franche-Comté,27.0,9608,2813289,3.26
Corse,94.0,136,337796,0.4
